Name,Connection Type,App,Platform,Country,Date,Impressions,Ad Revenue,CPM
connection 1,Mock Connection - chartboost.com,Snake,Firefox OS,Japan,2020-05-01,1324,22,16
connection 2,Mock Connection - applovin.com,Pong,Android,Japan,2020-05-01,6241,14,2
connection 3,Mock Connection - mopub.com,Snake,Firefox OS,United States,2020-05-01,2007,7,3
connection 4,Mock Connection - inmobi.com,Tetris,Android,Canada,2020-05-01,1838,4,2
connection 5,Mock Connection - flurry.com,Snake,Android,Germany,2020-05-01,1129,3,2
connection 6,Mock Connection - facebook.com,Michael Tetris,Firefox OS,United States,2020-05-01,1059,9,9
connection 7,Mock Connection - adcolony.com,Pong,Android,Denmark,2020-05-01,1163,5,4
connection 8,Mock Connection - applovin.com,Pong,Firefox OS,United States,2020-05-01,1247,18,15
connection 9,Mock Connection - adcolony.com,Snake,Android,Japan,2020-05-01,3733,12,3
connection 10,Mock Connection - inmobi.com,Pong,iOS,Denmark,2020-05-01,5703,8,1
connection 11,Mock Connection - facebook.com,Snake,Android,Denmark,2020-05-01,185,20,110
connection 12,Mock Connection - chartboost.com,Tetris,Firefox OS,Brazil,2020-05-01,1147,7,6
connection 13,Mock Connection - inmobi.com,Snake,iOS,Japan,2020-05-01,4613,55,11
connection 14,Mock Connection - vungle.com,Pong,Monte iOS,Denmark,2020-05-01,704,3,5
connection 15,Mock Connection - adcolony.com,2.0,Firefox OS,Brazil,2020-05-01,3509,11,3
connection 16,Mock Connection - mopub.com,Tetris,Firefox OS,Germany,2020-05-01,1270,2,1
connection 17,Mock Connection - applovin.com,Tetris,Android,Brazil,2020-05-01,892,9,10
connection 18,Mock Connection - mopub.com,Masako Tetris,Masako iOS,Germany,2020-05-01,906,1,1
connection 19,Mock Connection - mopub.com,Tetris,Android,Brazil,2020-05-01,2533,4,1
connection 20,Mock Connection - vungle.com,Snake,Firefox OS,Germany,2020-05-01,2577,10,3
connection 21,Mock Connection - inmobi.com,Randy,Firefox OS,Japan,2020-05-01,301,0,2
connection 22,Mock Connection - mopub.com,Snake,Firefox OS,Canada,2020-05-01,1442,5,3
connection 23,Mock Connection - facebook.com,Snake,iOS,Germany,2020-05-01,2347,12,5
connection 24,Mock Connection - vungle.com,Tetris,iOS,United States,2020-05-01,1912,11,5
connection 25,Mock Connection - vungle.com,Snake,Android,Brazil,2020-05-01,2225,5,2
connection 26,Mock Connection - chartboost.com,Snake,Android,Germany,2020-05-01,1070,20,19
connection 27,Mock Connection - chartboost.com,Snake,Android,Brazil,2020-05-01,710,0,0
connection 28,Mock Connection - applovin.com,Snake,Firefox OS,Japan,2020-05-01,2666,34,12
connection 29,Mock Connection - flurry.com,Tetris,Firefox OS,United States,2020-05-01,1294,4,3
connection 30,Mock Connection - facebook.com,Michael Tetris,Firefox OS,Canada,2020-05-01,2082,1,0
connection 31,Mock Connection - flurry.com,Tetris,Android,Japan,2020-05-01,1522,10,7
connection 32,Mock Connection - chartboost.com,Judy Tetris,Firefox OS,Japan,2020-05-01,769,0,1
connection 33,Mock Connection - mopub.com,Snake,Android,Germany,2020-05-01,4819,25,5
connection 34,Mock Connection - flurry.com,Snake,Android,Brazil,2020-05-01,373,0,1
connection 35,Mock Connection - mopub.com,Masako Tetris,Android,Germany,2020-05-01,382,6,18
connection 36,Mock Connection - adcolony.com,2.0,Android,Canada,2020-05-01,91,5,65
connection 37,Mock Connection - mopub.com,Pong,Android,Germany,2020-05-01,860,3,4
connection 38,Mock Connection - mopub.com,Snake,Firefox OS,Brazil,2020-05-01,3492,13,3
connection 39,Mock Connection - vungle.com,Pong,Monte iOS,Brazil,2020-05-01,1967,8,4
connection 40,Mock Connection - inmobi.com,Snake,Android,Brazil,2020-05-01,6910,40,5
connection 41,Mock Connection - flurry.com,Tetris,iOS,Germany,2020-05-01,1380,5,4
connection 42,Mock Connection - facebook.com,Tetris,iOS,Germany,2020-05-01,1332,17,13
connection 43,Mock Connection - vungle.com,Tetris,Android,Japan,2020-05-01,1001,6,6
connection 44,Mock Connection - flurry.com,Pong,Firefox OS,Japan,2020-05-01,2604,2,1
connection 45,Mock Connection - applovin.com,Snake,Firefox OS,United States,2020-05-01,956,7,8
connection 46,Mock Connection - adcolony.com,Pong,Firefox OS,Germany,2020-05-01,1631,2,1
connection 47,Mock Connection - applovin.com,Pong,Firefox OS,Japan,2020-05-01,4797,18,3
connection 48,Mock Connection - adcolony.com,2.0,Android,Denmark,2020-05-01,1948,4,2
